HIV/AIDS and tuberculosis,,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Wayne County, Utah",49055,"0.53 (0.35, 0.79)","0.63 (0.43, 0.87)","2.63 (1.96, 3.49)","4.44 (3.39, 5.76)","1.07 (0.73, 1.50)","0.81 (0.53, 1.17)","0.47 (0.28, 0.71)","0.36 (0.21, 0.57)","-32.11 (-57.17, 6.36)"
"Weber County, Utah",49057,"0.92 (0.67, 1.23)","1.12 (0.90, 1.38)","4.09 (3.52, 4.71)","6.90 (6.11, 7.81)","2.03 (1.71, 2.40)","1.56 (1.26, 1.88)","0.92 (0.71, 1.16)","0.71 (0.54, 0.93)","-22.60 (-47.30, 16.26)"
Vermont,50,"0.80 (0.65, 0.95)","1.06 (0.94, 1.19)","3.99 (3.70, 4.27)","6.03 (5.66, 6.44)","1.65 (1.51, 1.82)","1.23 (1.10, 1.37)","0.71 (0.62, 0.82)","0.54 (0.46, 0.64)","-32.25 (-45.58, -13.98)"
"Addison County, Vermont",50001,"0.77 (0.52, 1.12)","0.94 (0.67, 1.27)","3.38 (2.69, 4.16)","5.01 (4.09, 6.10)","1.26 (0.93, 1.64)","0.89 (0.62, 1.23)","0.51 (0.34, 0.73)","0.38 (0.24, 0.57)","-50.43 (-66.91, -26.87)"
"Bennington County, Vermont",50003,"1.01 (0.69, 1.45)","1.31 (0.97, 1.74)","4.91 (4.01, 5.97)","7.33 (6.05, 8.72)","2.15 (1.64, 2.76)","1.68 (1.23, 2.20)","0.94 (0.66, 1.33)","0.74 (0.51, 1.06)","-26.08 (-50.28, 9.05)"
"Caledonia County, Vermont",50005,"0.72 (0.46, 1.10)","0.97 (0.69, 1.37)","3.91 (3.12, 4.89)","6.04 (4.85, 7.42)","1.44 (1.06, 1.92)","1.06 (0.75, 1.48)","0.59 (0.39, 0.88)","0.45 (0.28, 0.67)","-37.73 (-59.76, -4.24)"
"Chittenden County, Vermont",50007,"0.90 (0.63, 1.20)","1.26 (0.98, 1.58)","4.50 (3.90, 5.16)","6.45 (5.63, 7.44)","2.00 (1.67, 2.40)","1.52 (1.25, 1.87)","0.91 (0.72, 1.15)","0.70 (0.54, 0.92)","-21.61 (-47.00, 17.17)"
"Essex County, Vermont",50009,"0.57 (0.33, 0.94)","0.76 (0.46, 1.18)","3.16 (2.24, 4.33)","5.03 (3.64, 6.67)","1.25 (0.78, 1.88)","0.92 (0.51, 1.46)","0.51 (0.25, 0.88)","0.38 (0.18, 0.68)","-33.08 (-62.78, 11.75)"
"Franklin County, Vermont",50011,"0.65 (0.42, 0.94)","0.84 (0.60, 1.15)","3.29 (2.62, 4.13)","5.06 (4.11, 6.17)","1.34 (0.98, 1.79)","0.96 (0.66, 1.34)","0.53 (0.34, 0.78)","0.41 (0.24, 0.62)","-37.56 (-62.08, -2.01)"
"Grand Isle County, Vermont",50013,"0.76 (0.42, 1.28)","1.03 (0.66, 1.57)","3.98 (2.85, 5.27)","6.09 (4.57, 7.88)","1.69 (1.06, 2.48)","1.25 (0.75, 1.96)","0.74 (0.40, 1.23)","0.57 (0.28, 1.00)","-24.79 (-57.99, 21.66)"
"Lamoille County, Vermont",50015,"0.69 (0.45, 1.01)","0.97 (0.69, 1.30)","3.75 (2.94, 4.74)","5.68 (4.48, 7.01)","1.56 (1.13, 2.11)","1.18 (0.81, 1.67)","0.69 (0.44, 1.03)","0.54 (0.33, 0.81)","-22.15 (-51.35, 20.97)"
"Orange County, Vermont",50017,"0.71 (0.47, 1.06)","0.91 (0.65, 1.27)","3.72 (2.91, 4.66)","5.72 (4.58, 7.04)","1.41 (1.02, 1.87)","1.09 (0.76, 1.53)","0.58 (0.36, 0.87)","0.44 (0.27, 0.69)","-37.82 (-60.39, -6.79)"
"Orleans County, Vermont",50019,"0.67 (0.40, 1.03)","0.92 (0.60, 1.28)","3.63 (2.77, 4.60)","5.97 (4.62, 7.40)","1.52 (1.04, 2.09)","1.12 (0.74, 1.60)","0.65 (0.37, 1.01)","0.51 (0.29, 0.83)","-24.37 (-54.44, 23.04)"
"Rutland County, Vermont",50021,"0.91 (0.60, 1.31)","1.12 (0.83, 1.47)","4.07 (3.28, 4.97)","6.29 (5.26, 7.40)","1.61 (1.25, 2.09)","1.20 (0.90, 1.57)","0.69 (0.48, 0.96)","0.53 (0.35, 0.76)","-42.02 (-62.71, -8.09)"
"Washington County, Vermont",50023,"0.72 (0.46, 1.05)","0.91 (0.65, 1.23)","3.42 (2.76, 4.14)","5.31 (4.32, 6.34)","1.26 (0.93, 1.63)","0.91 (0.66, 1.24)","0.51 (0.34, 0.73)","0.36 (0.23, 0.53)","-49.19 (-66.96, -22.81)"
"Windham County, Vermont",50025,"0.86 (0.56, 1.23)","1.24 (0.92, 1.66)","4.68 (3.83, 5.65)","7.30 (6.07, 8.65)","2.20 (1.72, 2.75)","1.59 (1.18, 2.07)","1.02 (0.73, 1.39)","0.74 (0.50, 1.03)","-14.45 (-44.53, 33.08)"
"Windsor County, Vermont",50027,"0.74 (0.50, 1.06)","0.94 (0.69, 1.23)","3.60 (2.93, 4.33)","5.55 (4.55, 6.56)","1.39 (1.06, 1.78)","1.05 (0.78, 1.38)","0.57 (0.41, 0.79)","0.43 (0.28, 0.61)","-41.89 (-60.88, -15.93)"
Virginia,51,"1.45 (1.34, 1.56)","2.23 (2.13, 2.33)","7.88 (7.70, 8.07)","12.56 (12.34, 12.78)","4.49 (4.37, 4.60)","3.63 (3.53, 3.73)","2.33 (2.25, 2.42)","1.94 (1.86, 2.01)","33.22 (21.92, 45.34)"
"Accomack County, Virginia",51001,"2.16 (1.57, 2.84)","3.13 (2.46, 3.99)","10.02 (8.53, 11.77)","16.85 (14.49, 19.20)","6.65 (5.53, 7.96)","5.42 (4.39, 6.61)","3.66 (2.84, 4.58)","3.24 (2.44, 4.13)","50.29 (5.66, 115.10)"
"Albemarle County, Virginia",51003,"1.61 (1.17, 2.15)","1.93 (1.53, 2.41)","7.13 (6.18, 8.10)","10.69 (9.49, 12.07)","3.37 (2.81, 3.98)","2.63 (2.18, 3.16)","1.56 (1.25, 1.98)","1.20 (0.93, 1.54)","-25.07 (-45.73, 5.25)"
"Alexandria City, Virginia",51510,"3.84 (3.05, 4.79)","6.51 (5.59, 7.56)","19.44 (17.67, 21.26)","25.26 (23.13, 27.48)","9.54 (8.45, 10.77)","6.99 (6.14, 7.97)","4.10 (3.46, 4.77)","3.29 (2.72, 3.91)","-14.31 (-35.44, 15.54)"
"Alleghany County, Virginia",51005,"0.85 (0.54, 1.26)","1.15 (0.80, 1.58)","4.96 (3.87, 6.18)","8.36 (6.69, 10.35)","2.33 (1.66, 3.16)","1.84 (1.27, 2.60)","1.03 (0.64, 1.57)","0.84 (0.50, 1.32)","-0.49 (-38.46, 64.05)"
"Amelia County, Virginia",51007,"1.44 (0.95, 2.10)","1.88 (1.32, 2.61)","6.97 (5.56, 8.63)","11.44 (9.09, 13.96)","3.69 (2.68, 4.91)","2.77 (1.91, 3.78)","1.69 (1.12, 2.43)","1.42 (0.91, 2.09)","-0.88 (-33.41, 48.79)"
"Amherst County, Virginia",51009,"0.77 (0.52, 1.10)","1.11 (0.82, 1.47)","4.82 (3.88, 5.89)","8.69 (7.23, 10.33)","2.55 (1.94, 3.26)","2.00 (1.47, 2.64)","1.18 (0.81, 1.65)","0.94 (0.64, 1.33)","21.84 (-23.61, 91.52)"
"Appomattox County, Virginia",51011,"0.99 (0.70, 1.39)","1.47 (1.07, 1.92)","6.21 (5.01, 7.55)","10.60 (8.86, 12.79)","3.41 (2.62, 4.30)","2.67 (1.97, 3.53)","1.62 (1.13, 2.22)","1.37 (0.92, 1.96)","37.80 (-11.08, 104.42)"
"Arlington County, Virginia",51013,"3.32 (2.64, 4.08)","5.92 (5.10, 6.82)","16.03 (14.65, 17.47)","23.28 (21.65, 24.98)","8.68 (7.73, 9.67)","6.84 (6.02, 7.71)","3.99 (3.38, 4.71)","3.24 (2.72, 3.79)","-2.39 (-25.84, 28.36)"
"Augusta County, Virginia",51015,"0.90 (0.64, 1.22)","1.10 (0.87, 1.41)","4.50 (3.81, 5.27)","7.24 (6.29, 8.37)","1.99 (1.64, 2.44)","1.49 (1.18, 1.85)","0.89 (0.67, 1.17)","0.72 (0.54, 0.99)","-19.28 (-45.23, 22.56)"
"Bath County, Virginia",51017,"0.85 (0.56, 1.24)","1.02 (0.72, 1.41)","4.11 (3.14, 5.21)","7.06 (5.49, 8.95)","1.87 (1.33, 2.57)","1.32 (0.88, 1.88)","0.74 (0.47, 1.10)","0.59 (0.36, 0.93)","-30.86 (-57.20, 10.19)"
"Bedford County, Virginia",51019,"0.78 (0.53, 1.08)","0.99 (0.75, 1.29)","4.30 (3.58, 5.14)","6.93 (5.94, 8.07)","2.09 (1.63, 2.60)","1.60 (1.23, 2.03)","1.01 (0.74, 1.34)","0.81 (0.57, 1.09)","3.82 (-27.78, 49.24)"
"Bland County, Virginia",51021,"0.75 (0.51, 1.12)","0.93 (0.64, 1.29)","4.09 (3.12, 5.23)","7.24 (5.63, 9.11)","1.92 (1.37, 2.63)","1.46 (0.98, 2.05)","0.82 (0.51, 1.23)","0.64 (0.39, 0.99)","-13.91 (-47.56, 33.18)"
"Botetourt County, Virginia",51023,"0.74 (0.49, 1.05)","0.99 (0.72, 1.36)","4.29 (3.44, 5.28)","7.19 (5.84, 8.49)","2.12 (1.62, 2.71)","1.70 (1.24, 2.27)","1.00 (0.68, 1.42)","0.84 (0.55, 1.20)","13.72 (-29.69, 78.25)"
"Bristol City, Virginia",51520,"1.40 (0.84, 2.19)","1.97 (1.33, 2.85)","7.97 (6.24, 10.03)","13.68 (11.08, 16.72)","4.49 (3.25, 5.92)","3.88 (2.73, 5.40)","2.54 (1.58, 3.82)","2.22 (1.34, 3.48)","59.26 (-2.05, 152.47)"
"Brunswick County, Virginia",51025,"1.97 (1.43, 2.68)","2.87 (2.20, 3.67)","10.90 (9.23, 12.83)","17.40 (14.81, 20.35)","6.45 (5.28, 7.81)","5.20 (4.13, 6.38)","3.37 (2.52, 4.35)","2.67 (1.95, 3.51)","35.70 (-6.71, 95.14)"
"Buchanan County, Virginia",51027,"0.90 (0.58, 1.36)","0.95 (0.66, 1.32)","3.50 (2.67, 4.51)","6.82 (5.39, 8.52)","1.85 (1.35, 2.49)","1.40 (0.97, 1.94)","0.77 (0.49, 1.13)","0.61 (0.38, 0.93)","-32.32 (-59.50, 12.59)"
"Buckingham County, Virginia",51029,"1.73 (1.17, 2.41)","2.19 (1.59, 2.95)","7.70 (6.22, 9.37)","13.33 (10.92, 15.92)","4.10 (3.11, 5.26)","3.06 (2.22, 4.11)","1.78 (1.17, 2.52)","1.43 (0.93, 2.09)","-17.40 (-44.56, 23.40)"
"Buena Vista City, Virginia",51530,"0.75 (0.53, 1.07)","1.01 (0.76, 1.31)","4.38 (3.51, 5.39)","7.49 (6.17, 8.94)","2.10 (1.64, 2.70)","1.66 (1.21, 2.17)","0.98 (0.68, 1.36)","0.79 (0.54, 1.13)","5.33 (-31.63, 60.64)"
"Campbell County, Virginia",51031,"0.78 (0.53, 1.10)","1.16 (0.86, 1.54)","4.87 (4.04, 5.84)","8.85 (7.51, 10.43)","2.72 (2.19, 3.35)","2.30 (1.79, 2.94)","1.47 (1.07, 1.93)","1.25 (0.91, 1.68)","60.01 (6.62, 134.29)"
"Caroline County, Virginia",51033,"1.80 (1.25, 2.53)","2.09 (1.59, 2.86)","7.20 (5.86, 8.71)","12.02 (10.02, 14.12)","3.74 (2.93, 4.73)","2.82 (2.08, 3.69)","1.68 (1.17, 2.33)","1.33 (0.92, 1.89)","-26.25 (-50.77, 7.32)"
"Carroll County, Virginia",51035,"0.69 (0.46, 1.01)","0.89 (0.63, 1.21)","3.95 (3.06, 4.94)","7.15 (5.68, 8.79)","1.90 (1.40, 2.54)","1.50 (1.04, 2.07)","0.88 (0.57, 1.29)","0.73 (0.45, 1.09)","6.36 (-32.61, 63.18)"
"Charles City County, Virginia",51036,"2.70 (1.85, 3.86)","3.13 (2.28, 4.17)","9.24 (7.38, 11.26)","14.07 (11.55, 17.06)","4.39 (3.35, 5.64)","3.07 (2.30, 4.02)","1.93 (1.36, 2.69)","1.50 (1.00, 2.15)","-44.40 (-63.77, -16.55)"
"Charlotte County, Virginia",51037,"1.55 (1.05, 2.21)","2.07 (1.53, 2.77)","7.98 (6.48, 9.73)","13.71 (11.38, 16.26)","4.61 (3.52, 5.82)","3.87 (2.85, 4.98)","2.40 (1.66, 3.29)","2.06 (1.40, 2.89)","32.74 (-13.22, 106.20)"
"Charlottesville City, Virginia",51540,"1.61 (1.17, 2.15)","1.93 (1.53, 2.41)","7.13 (6.18, 8.10)","10.69 (9.49, 12.07)","3.37 (2.81, 3.98)","2.63 (2.18, 3.16)","1.56 (1.25, 1.98)","1.20 (0.93, 1.54)","-25.07 (-45.73, 5.25)"
"Chesapeake City, Virginia",51550,"1.11 (0.82, 1.46)","1.82 (1.46, 2.25)","7.29 (6.44, 8.21)","11.83 (10.72, 13.01)","4.39 (3.87, 5.00)","3.62 (3.07, 4.20)","2.55 (2.14, 3.03)","2.14 (1.76, 2.60)","92.31 (40.50, 171.85)"
"Chesterfield County, Virginia",51041,"0.59 (0.43, 0.78)","0.91 (0.73, 1.10)","3.71 (3.25, 4.22)","6.52 (5.83, 7.24)","2.25 (1.92, 2.61)","1.92 (1.62, 2.27)","1.23 (1.02, 1.49)","1.06 (0.85, 1.30)","80.22 (28.69, 159.88)"
"Clarke County, Virginia",51043,"1.01 (0.64, 1.48)","1.22 (0.85, 1.69)","4.41 (3.43, 5.60)","7.05 (5.55, 8.85)","2.00 (1.44, 2.72)","1.54 (1.03, 2.20)","0.90 (0.57, 1.34)","0.71 (0.43, 1.10)","-29.01 (-52.37, 6.59)"
"Colonial Heights City, Virginia",51570,"0.65 (0.39, 1.02)","1.18 (0.81, 1.62)","5.78 (4.54, 7.15)","9.86 (8.01, 11.99)","3.44 (2.52, 4.56)","3.11 (2.12, 4.45)","2.13 (1.33, 3.12)","1.98 (1.22, 3.04)","201.94 (80.53, 384.98)"
"Covington City, Virginia",51580,"1.19 (0.58, 2.11)","1.59 (0.91, 2.64)","6.34 (4.45, 8.72)","10.71 (7.75, 14.39)","3.25 (1.94, 5.15)","2.63 (1.37, 4.46)","1.57 (0.72, 3.03)","1.32 (0.52, 2.73)","11.25 (-48.84, 116.77)"
"Craig County, Virginia",51045,"0.54 (0.35, 0.79)","0.70 (0.49, 0.99)","3.33 (2.51, 4.37)","5.91 (4.55, 7.61)","1.54 (1.09, 2.18)","1.15 (0.78, 1.65)","0.68 (0.42, 1.03)","0.54 (0.33, 0.86)","0.73 (-39.05, 59.69)"
"Culpeper County, Virginia",51047,"1.43 (0.99, 2.04)","1.65 (1.24, 2.18)","5.74 (4.75, 6.94)","9.56 (7.96, 11.32)","2.89 (2.24, 3.67)","2.20 (1.64, 2.91)","1.33 (0.89, 1.84)","1.03 (0.67, 1.45)","-28.27 (-55.57, 14.47)"
"Cumberland County, Virginia",51049,"1.62 (1.09, 2.33)","2.06 (1.44, 2.90)","7.04 (5.48, 8.82)","11.29 (8.96, 13.81)","3.69 (2.71, 4.91)","2.73 (1.85, 3.80)","1.66 (1.07, 2.41)","1.33 (0.81, 1.99)","-17.74 (-46.09, 22.05)"
"Danville City, Virginia",51590,"1.36 (1.04, 1.77)","2.19 (1.77, 2.67)","8.27 (7.27, 9.40)","14.00 (12.51, 15.69)","5.16 (4.38, 5.96)","3.95 (3.33, 4.69)","2.82 (2.31, 3.45)","2.43 (1.89, 3.02)","78.51 (28.19, 146.40)"
"Dickenson County, Virginia",51051,"1.08 (0.64, 1.66)","1.25 (0.80, 1.85)","4.59 (3.34, 5.99)","8.09 (6.06, 10.45)","2.13 (1.40, 3.01)","1.68 (1.04, 2.58)","0.94 (0.52, 1.58)","0.75 (0.40, 1.30)","-30.16 (-60.86, 19.41)"
"Dinwiddie County, Virginia",51053,"1.45 (1.04, 1.98)","1.88 (1.45, 2.38)","7.37 (6.10, 8.78)","12.05 (10.24, 14.04)","3.91 (3.13, 4.77)","3.19 (2.48, 3.99)","2.10 (1.57, 2.68)","1.77 (1.30, 2.33)","22.05 (-17.72, 81.06)"
"Emporia City, Virginia",51595,"1.90 (1.33, 2.60)","2.64 (1.99, 3.46)","9.70 (8.14, 11.59)","20.11 (17.06, 23.52)","8.22 (6.68, 10.02)","7.18 (5.70, 9.10)","4.89 (3.63, 6.36)","4.13 (3.00, 5.53)","117.31 (48.21, 222.39)"
"Essex County, Virginia",51057,"1.30 (0.87, 1.88)","1.85 (1.35, 2.47)","7.12 (5.65, 8.85)","11.95 (9.65, 14.68)","4.07 (3.06, 5.38)","3.31 (2.37, 4.46)","2.05 (1.37, 2.97)","1.67 (1.09, 2.51)","28.64 (-14.77, 91.76)"
"Fairfax City, Virginia",51600,"1.22 (0.94, 1.53)","1.72 (1.47, 2.01)","5.27 (4.87, 5.69)","8.06 (7.59, 8.55)","2.45 (2.21, 2.71)","1.87 (1.67, 2.11)","1.20 (1.03, 1.39)","0.88 (0.75, 1.02)","-27.65 (-44.52, -3.22)"
"Fairfax County, Virginia",51059,"1.22 (0.94, 1.53)","1.72 (1.47, 2.01)","5.27 (4.87, 5.69)","8.06 (7.59, 8.55)","2.45 (2.21, 2.71)","1.87 (1.67, 2.11)","1.20 (1.03, 1.39)","0.88 (0.75, 1.02)","-27.65 (-44.52, -3.22)"
"Falls Church City, Virginia",51610,"2.60 (1.71, 3.79)","3.57 (2.67, 4.79)","10.45 (8.47, 12.53)","14.47 (11.83, 17.41)","5.27 (4.08, 6.80)","4.06 (2.88, 5.45)","2.49 (1.61, 3.59)","1.96 (1.21, 2.93)","-24.58 (-54.31, 26.67)"
"Fauquier County, Virginia",51061,"1.19 (0.83, 1.66)","1.41 (1.07, 1.82)","4.73 (3.92, 5.66)","7.37 (6.24, 8.62)","2.09 (1.69, 2.57)","1.67 (1.30, 2.10)","1.00 (0.72, 1.32)","0.80 (0.57, 1.09)","-32.52 (-56.04, 3.92)"
"Floyd County, Virginia",51063,"0.64 (0.43, 0.93)","0.82 (0.58, 1.12)","3.61 (2.77, 4.65)","6.35 (5.05, 8.03)","1.70 (1.22, 2.31)","1.37 (0.93, 1.94)","0.80 (0.50, 1.21)","0.67 (0.41, 1.03)","4.45 (-36.82, 64.78)"
"Fluvanna County, Virginia",51065,"1.32 (0.89, 1.87)","1.50 (1.11, 2.02)","5.09 (4.10, 6.37)","7.49 (6.03, 9.17)","2.32 (1.74, 3.05)","1.69 (1.19, 2.36)","0.97 (0.64, 1.42)","0.77 (0.49, 1.14)","-42.04 (-62.46, -13.35)"
"Franklin City, Virginia",51620,"1.87 (1.33, 2.54)","2.75 (2.14, 3.51)","9.99 (8.42, 11.79)","16.16 (13.74, 18.84)","6.16 (4.96, 7.52)","4.84 (3.74, 6.05)","3.45 (2.56, 4.52)","2.92 (2.15, 3.91)","55.94 (13.49, 119.08)"
"Franklin County, Virginia",51067,"0.72 (0.49, 1.05)","0.95 (0.70, 1.27)","4.18 (3.36, 5.08)","7.08 (5.89, 8.46)","1.97 (1.52, 2.47)","1.49 (1.09, 1.93)","0.89 (0.63, 1.21)","0.72 (0.50, 0.99)","-0.40 (-37.58, 56.54)"
"Frederick County, Virginia",51069,"0.82 (0.57, 1.15)","1.05 (0.79, 1.36)","3.84 (3.16, 4.58)","6.27 (5.23, 7.34)","1.88 (1.49, 2.39)","1.55 (1.17, 1.99)","0.95 (0.68, 1.28)","0.79 (0.55, 1.11)","-3.56 (-33.81, 41.95)"
"Fredericksburg City, Virginia",51630,"1.46 (1.04, 1.98)","1.68 (1.27, 2.10)","5.74 (4.93, 6.68)","9.32 (8.14, 10.72)","3.09 (2.54, 3.65)","2.59 (2.07, 3.16)","1.71 (1.32, 2.14)","1.36 (1.04, 1.76)","-6.90 (-32.71, 32.44)"
"Galax City, Virginia",51640,"0.93 (0.49, 1.62)","1.26 (0.75, 2.08)","5.39 (3.73, 7.29)","9.48 (6.81, 12.65)","2.90 (1.77, 4.43)","2.33 (1.26, 3.88)","1.40 (0.67, 2.54)","1.17 (0.50, 2.21)","25.99 (-31.47, 111.77)"
"Giles County, Virginia",51071,"0.89 (0.60, 1.27)","1.15 (0.85, 1.52)","5.05 (3.97, 6.25)","8.35 (6.71, 10.23)","2.35 (1.76, 3.01)","1.88 (1.32, 2.56)","1.14 (0.75, 1.63)","0.94 (0.59, 1.38)","4.91 (-32.89, 60.70)"
"Gloucester County, Virginia",51073,"0.82 (0.57, 1.13)","1.22 (0.92, 1.56)","5.35 (4.39, 6.45)","8.94 (7.52, 10.54)","2.87 (2.28, 3.59)","2.27 (1.72, 2.92)","1.49 (1.09, 1.99)","1.31 (0.93, 1.77)","59.06 (6.87, 144.66)"
"Goochland County, Virginia",51075,"1.52 (1.03, 2.18)","1.80 (1.31, 2.42)","6.14 (4.96, 7.54)","10.27 (8.49, 12.33)","3.19 (2.42, 4.11)","2.22 (1.63, 3.04)","1.32 (0.91, 1.86)","1.06 (0.71, 1.53)","-30.07 (-54.00, 3.28)"
"Grayson County, Virginia",51077,"0.72 (0.49, 1.03)","0.95 (0.70, 1.26)","4.25 (3.34, 5.35)","7.75 (6.18, 9.30)","1.99 (1.50, 2.57)","1.57 (1.13, 2.07)","0.91 (0.63, 1.27)","0.76 (0.51, 1.06)","5.83 (-30.63, 60.56)"
"Greene County, Virginia",51079,"1.12 (0.73, 1.63)","1.26 (0.88, 1.75)","4.27 (3.34, 5.35)","7.19 (5.85, 8.85)","2.10 (1.54, 2.76)","1.61 (1.13, 2.20)","0.91 (0.60, 1.35)","0.72 (0.45, 1.07)","-35.27 (-59.16, 0.39)"
"Greensville County, Virginia",51081,"1.90 (1.33, 2.60)","2.64 (1.99, 3.46)","9.70 (8.14, 11.59)","20.11 (17.06, 23.52)","8.22 (6.68, 10.02)","7.18 (5.70, 9.10)","4.89 (3.63, 6.36)","4.13 (3.00, 5.53)","117.31 (48.21, 222.39)"
"Halifax County, Virginia",51083,"1.50 (1.08, 2.02)","2.18 (1.67, 2.75)","9.21 (7.76, 10.81)","15.56 (13.38, 17.89)","5.37 (4.33, 6.59)","4.62 (3.64, 5.74)","2.91 (2.20, 3.80)","2.45 (1.77, 3.27)","63.36 (16.63, 129.70)"
"Hampton City, Virginia",51650,"1.37 (1.04, 1.76)","2.49 (2.06, 2.98)","10.61 (9.49, 11.86)","17.33 (15.83, 19.00)","7.40 (6.56, 8.36)","6.02 (5.14, 6.94)","4.43 (3.66, 5.24)","4.07 (3.33, 4.82)","196.80 (117.99, 307.50)"
"Hanover County, Virginia",51085,"0.96 (0.68, 1.31)","1.17 (0.91, 1.48)","4.19 (3.52, 4.95)","7.09 (6.14, 8.24)","2.08 (1.67, 2.52)","1.59 (1.24, 1.99)","0.92 (0.68, 1.22)","0.75 (0.55, 1.01)","-21.56 (-47.23, 17.93)"
"Harrisonburg City, Virginia",51660,"1.09 (0.77, 1.50)","1.21 (0.91, 1.58)","3.94 (3.28, 4.65)","6.36 (5.37, 7.37)","1.84 (1.47, 2.23)","1.43 (1.11, 1.80)","0.81 (0.60, 1.05)","0.64 (0.46, 0.88)","-41.18 (-62.65, -8.43)"
"Henrico County, Virginia",51087,"1.13 (0.86, 1.45)","1.78 (1.47, 2.16)","6.55 (5.83, 7.30)","11.05 (10.07, 12.04)","3.92 (3.42, 4.45)","3.36 (2.88, 3.89)","2.28 (1.90, 2.70)","1.85 (1.52, 2.23)","63.52 (20.42, 118.00)"
"Henry County, Virginia",51089,"0.81 (0.58, 1.11)","1.20 (0.92, 1.52)","5.25 (4.42, 6.21)","9.23 (7.95, 10.70)","2.81 (2.29, 3.41)","2.32 (1.84, 2.88)","1.48 (1.12, 1.93)","1.21 (0.89, 1.62)","50.04 (-2.65, 124.94)"
"Highland County, Virginia",51091,"0.64 (0.37, 0.99)","0.79 (0.51, 1.18)","3.26 (2.34, 4.35)","5.48 (3.99, 7.16)","1.39 (0.87, 2.03)","1.03 (0.61, 1.61)","0.57 (0.31, 0.96)","0.45 (0.24, 0.78)","-30.10 (-57.19, 9.39)"
"Hopewell City, Virginia",51670,"1.12 (0.68, 1.73)","1.92 (1.37, 2.64)","8.55 (6.93, 10.44)","15.22 (12.87, 17.90)","5.53 (4.28, 7.06)","5.06 (3.83, 6.64)","3.38 (2.37, 4.67)","2.91 (1.99, 4.17)","160.96 (63.13, 310.23)"
"Isle of Wight County, Virginia",51093,"1.62 (1.13, 2.24)","2.12 (1.62, 2.75)","7.34 (6.14, 8.67)","11.50 (9.70, 13.50)","3.84 (3.04, 4.73)","3.30 (2.54, 4.20)","2.21 (1.62, 2.97)","1.89 (1.34, 2.55)","16.89 (-21.26, 69.81)"
"James City County, Virginia",51095,"1.04 (0.73, 1.46)","1.54 (1.22, 1.98)","5.96 (5.09, 6.94)","9.19 (7.92, 10.59)","2.94 (2.41, 3.57)","2.41 (1.93, 2.94)","1.61 (1.25, 2.05)","1.47 (1.12, 1.88)","41.03 (-3.96, 110.04)"
"King George County, Virginia",51099,"1.17 (0.78, 1.69)","1.52 (1.13, 2.03)","5.89 (4.69, 7.21)","9.89 (8.07, 11.86)","3.10 (2.39, 4.03)","2.42 (1.79, 3.17)","1.47 (1.02, 2.07)","1.22 (0.82, 1.73)","4.39 (-34.07, 58.64)"
"King William County, Virginia",51101,"1.29 (0.79, 1.98)","1.68 (1.14, 2.37)","6.38 (4.94, 8.02)","10.34 (8.13, 12.81)","3.04 (2.19, 4.11)","2.29 (1.55, 3.19)","1.31 (0.82, 2.01)","1.07 (0.64, 1.65)","-16.78 (-46.75, 34.74)"
"King and Queen County, Virginia",51097,"1.72 (1.19, 2.43)","2.18 (1.63, 2.83)","7.84 (6.32, 9.68)","12.03 (9.81, 14.73)","3.75 (2.88, 4.83)","2.80 (2.05, 3.71)","1.63 (1.14, 2.31)","1.33 (0.87, 1.91)","-23.04 (-49.67, 18.92)"
"Lancaster County, Virginia",51103,"1.69 (1.13, 2.39)","2.37 (1.76, 3.14)","8.27 (6.53, 10.16)","13.66 (11.16, 16.40)","4.72 (3.49, 6.09)","3.90 (2.75, 5.17)","2.51 (1.69, 3.62)","2.18 (1.40, 3.20)","28.77 (-12.17, 86.83)"
"Lee County, Virginia",51105,"1.14 (0.73, 1.73)","1.19 (0.79, 1.72)","4.21 (3.23, 5.35)","7.49 (5.92, 9.29)","2.06 (1.48, 2.81)","1.82 (1.18, 2.64)","1.10 (0.69, 1.66)","0.86 (0.51, 1.35)","-24.55 (-51.97, 19.09)"
"Lexington City, Virginia",51678,"1.47 (0.66, 2.74)","1.90 (1.00, 3.21)","6.07 (4.02, 8.63)","9.51 (6.50, 12.86)","3.23 (1.77, 5.11)","2.64 (1.28, 4.44)","1.72 (0.71, 3.23)","1.48 (0.55, 2.94)","1.12 (-54.55, 101.84)"
"Loudoun County, Virginia",51107,"0.95 (0.66, 1.31)","1.09 (0.85, 1.40)","3.49 (2.97, 4.08)","5.62 (4.93, 6.37)","1.71 (1.42, 2.03)","1.50 (1.23, 1.79)","0.91 (0.72, 1.13)","0.75 (0.59, 0.92)","-21.30 (-45.58, 15.92)"
"Louisa County, Virginia",51109,"2.08 (1.48, 2.82)","2.41 (1.82, 3.10)","7.98 (6.62, 9.45)","12.04 (10.32, 14.01)","3.94 (3.14, 4.85)","2.96 (2.31, 3.74)","1.75 (1.27, 2.32)","1.37 (0.98, 1.88)","-34.44 (-56.00, -1.16)"
